request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_203,1442.1,affordable_later,wait,2025-05-07:1442.1,2025-05-07,none,"Pay EUR 1,442.10 in full on 2025-05-07. Paying earlier would take the balance below the EUR 1,400 minimum."
request_204,103.61,affordable_later,wait,2026-03-15:588.74,2026-03-15,none,"Pay EUR 588.74 in full on 2026-03-15. Paying earlier would take the balance below the EUR 1,300 minimum."
request_205,7532746.45,affordable_later,wait,2024-04-15:10621000,2024-04-15,none,"Pay IDR 10,621,000 in full on 2024-04-15. Paying earlier would take the balance below the IDR 13,994,300 minimum."
request_206,1404.7,affordable_later,wait,2025-08-03:1404.7,2025-08-03,none,"Pay EUR 1,404.70 in full on 2025-08-03. Paying earlier would take the balance below the EUR 900 minimum."
request_207,3387.77,affordable_later,wait,2026-08-15:11830,2026-08-15,none,"Pay ZAR 11,830 in full on 2026-08-15. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,2898156.58,affordable_later,wait,2024-08-15:4413000,2024-08-15,none,"Pay IDR 4,413,000 in full on 2024-08-15. Paying earlier would take the balance below the IDR 10,470,700 minimum."
request_209,1484.9,affordable_later,wait,2026-01-15:56914,2026-01-15,none,"Pay ZAR 56,914 in full on 2026-01-15. Paying earlier would take the balance below the ZAR 18,400 minimum."
request_210,707.13,affordable_with_plan,partial_payment,2026-04-06:707.13|2026-04-15:652.89,2026-04-15,none,"Pay USD 707.13 today and the remaining USD 652.89 on 2026-04-15. This completes the full request and keeps the USD 2,000 minimum protected."
request_211,350.47,affordable_later,wait,2024-10-15:1788.6,2024-10-15,none,"Pay EUR 1,788.60 in full on 2024-10-15. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-28. None of the available options keeps the IDR 29,579,800 minimum protected."
request_213,3362.4,affordable_later,wait,2026-01-07:3362.4,2026-01-07,none,"Pay USD 3,362.40 in full on 2026-01-07. Paying earlier would take the balance below the USD 2,100 minimum."
request_214,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-28. None of the available options keeps the INR 174,900 minimum protected."
request_215,29986.0,affordable_later,wait,2025-05-06:29986,2025-05-06,none,"Pay ZAR 29,986 in full on 2025-05-06. Paying earlier would take the balance below the ZAR 15,700 minimum."
request_216,140.18,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-15. None of the available options keeps the USD 1,800 minimum protected."
request_217,19635.83,affordable_later,wait,2024-04-15:37180,2024-04-15,none,"Pay ZAR 37,180 in full on 2024-04-15. Paying earlier would take the balance below the ZAR 26,800 minimum."
request_218,27552989.5,affordable_later,wait,2025-09-15:61142000,2025-09-15,none,"Pay IDR 61,142,000 in full on 2025-09-15. Paying earlier would take the balance below the IDR 34,477,200 minimum."
request_219,531.55,affordable_later,wait,2026-04-15:1673.1,2026-04-15,none,"Pay EUR 1,673.10 in full on 2026-04-15. Paying earlier would take the balance below the EUR 1,100 minimum."
request_220,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-03. None of the available options keeps the EUR 1,100 minimum protected."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 103,566.49 available over the next 90 days."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 80,134.35 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 902.29 available over the next 90 days.
request_224,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-03-16. None of the available options keeps the IDR 22,187,600 minimum protected."
request_225,6082779.71,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-21. None of the available options keeps the IDR 17,670,700 minimum protected."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. This leaves at least INR 246,942.36 available over the next 90 days."
request_227,4568.77,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-20. None of the available options keeps the INR 62,900 minimum protected."
request_228,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-04-30. None of the available options keeps the IDR 26,191,200 minimum protected."
request_229,163.16,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-23. None of the available options keeps the EUR 1,000 minimum protected."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 3,733.92 available over the next 90 days."
request_231,26066.49,affordable_later,wait,2026-02-15:35706,2026-02-15,none,"Pay ZAR 35,706 in full on 2026-02-15. Paying earlier would take the balance below the ZAR 24,300 minimum."
request_232,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 2,400 minimum protected."
request_233,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-12-17. None of the available options keeps the IDR 10,365,700 minimum protected."
request_234,177.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15. None of the available options keeps the EUR 700 minimum protected.
request_235,653.02,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-10-25. None of the available options keeps the USD 700 minimum protected.
request_236,5360317.66,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-23. None of the available options keeps the IDR 16,768,600 minimum protected."
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000 today. This leaves at least IDR 69,383,660.69 available over the next 90 days."
request_238,663.6,affordable_later,wait,2024-12-07:663.6,2024-12-07,none,Pay USD 663.60 in full on 2024-12-07. Paying earlier would take the balance below the USD 700 minimum.
request_239,581.55,affordable_later,wait,2025-06-15:642,2025-06-15,none,Pay USD 642 in full on 2025-06-15. Paying earlier would take the balance below the USD 600 minimum.
request_240,458.9,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-20. None of the available options keeps the INR 52,800 minimum protected."
request_241,21052000.0,affordable_later,wait,2024-03-03:21052000,2024-03-03,none,"Pay IDR 21,052,000 in full on 2024-03-03. Paying earlier would take the balance below the IDR 19,252,000 minimum."
request_242,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-08-25. None of the available options keeps the EUR 600 minimum protected.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 24,599.21 available over the next 90 days."
request_244,47937.32,affordable_later,wait,2024-07-15:49918,2024-07-15,none,"Pay ZAR 49,918 in full on 2024-07-15. Paying earlier would take the balance below the ZAR 45,900 minimum."
request_245,26550.56,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the INR 94,600 minimum protected."
request_246,64086.0,affordable_later,wait,2026-04-03:64086,2026-04-03,none,"Pay ZAR 64,086 in full on 2026-04-03. Paying earlier would take the balance below the ZAR 39,300 minimum."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,471.94 available over the next 90 days."
request_248,959.78,affordable_with_plan,partial_payment,2025-02-07:959.78|2025-04-15:1005.82,2025-04-15,none,"Pay USD 959.78 today and the remaining USD 1,005.82 on 2025-04-15. This completes the full request and keeps the USD 1,300 minimum protected."
request_249,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15. None of the available options keeps the USD 600 minimum protected.
request_250,15777.62,affordable_with_plan,partial_payment,2024-12-06:15777.62|2025-01-15:108500.38,2025-01-15,none,"Pay ZAR 15,777.62 today and the remaining ZAR 108,500.38 on 2025-01-15. This completes the full request and keeps the ZAR 35,300 minimum protected."
request_251,1513.6,affordable_later,wait,2025-05-03:1513.6,2025-05-03,none,"Pay EUR 1,513.60 in full on 2025-05-03. Paying earlier would take the balance below the EUR 1,300 minimum."
request_252,4018147.41,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Pay IDR 28,082,000 in full on 2026-09-15. Paying earlier would take the balance below the IDR 15,152,200 minimum."
request_253,117.48,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-06-01. None of the available options keeps the EUR 2,300 minimum protected."
request_254,490.54,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,"Pay USD 3,535.20 in full on 2025-10-15. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000 today. This leaves at least IDR 30,306,951.78 available over the next 90 days."
request_256,136577.17,affordable_later,wait,2024-08-15:218700,2024-08-15,none,"Pay INR 218,700 in full on 2024-08-15. Paying earlier would take the balance below the INR 168,600 minimum."
request_257,28.96,affordable_later,wait,2025-12-15:1352.4,2025-12-15,none,"Pay USD 1,352.40 in full on 2025-12-15. Paying earlier would take the balance below the USD 1,600 minimum."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 1,050.87 available over the next 90 days."
request_259,110.47,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. None of the available options keeps the EUR 600 minimum protected.
request_260,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-18. None of the available options keeps the IDR 20,727,700 minimum protected."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,827.11 available over the next 90 days."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000 today. This leaves at least IDR 51,530,958.64 available over the next 90 days."
request_263,1937.83,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-15. None of the available options keeps the ZAR 24,100 minimum protected."
request_264,9900.24,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Pay INR 111,300 in full on 2026-06-15. Paying earlier would take the balance below the INR 59,500 minimum."
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Pay INR 45,970 today. This leaves at least INR 687,322.27 available over the next 90 days."
request_266,677.4,affordable_later,wait,2025-10-15:935,2025-10-15,none,Pay EUR 935 in full on 2025-10-15. Paying earlier would take the balance below the EUR 900 minimum.
request_267,1120.13,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-17. None of the available options keeps the EUR 1,500 minimum protected."
request_268,989.62,affordable_later,wait,2024-08-15:2426.6,2024-08-15,none,"Pay EUR 2,426.60 in full on 2024-08-15. Paying earlier would take the balance below the EUR 1,400 minimum."
request_269,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-02. None of the available options keeps the ZAR 23,100 minimum protected."
request_270,146.91,affordable_later,wait,2026-08-15:3028.8,2026-08-15,none,"Pay USD 3,028.80 in full on 2026-08-15. Paying earlier would take the balance below the USD 1,400 minimum."
request_271,7092.97,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Pay INR 91,300 in full on 2024-11-15. Paying earlier would take the balance below the INR 58,200 minimum."
request_272,5040400.9,affordable_later,wait,2025-03-15:13585000,2025-03-15,none,"Pay IDR 13,585,000 in full on 2025-03-15. Paying earlier would take the balance below the IDR 7,508,600 minimum."
request_273,6927993.66,affordable_with_plan,partial_payment,2026-04-07:6927993.66|2026-05-15:8933006.34,2026-05-15,none,"Pay IDR 6,927,993.66 today and the remaining IDR 8,933,006.34 on 2026-05-15. This completes the full request and keeps the IDR 18,774,600 minimum protected."
request_274,1515.62,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-11. None of the available options keeps the EUR 1,800 minimum protected."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 14,948,809.93 available over the next 90 days."
